"","Achi_mill","Agro_capi","Anth_odor","Apha_arve","Arre_elat","Brac_bell","Brom_tect","Caps_burs","Care_brev","Care_muel","Carm_vexi","Celm_grac","Cera_font","Colo_brev","Copr_petr","Dact_glom","Elym_falc","Erod_cicu","Fest_nova","Fest_rubr","Gera_sess","Hier_caes","Hier_pilo","Hier_prae","Holc_lana","Leuc_fras","Lotu_corn","Lupi_poly","Luzu_rufa","Malv_parv","Medi_sati","Myos_stri","Oreo_cole","Phle_prat","Pime_oreo","Poa_cole","Poa_mani","Poa_prat","Pter_veno","Pyrr_exig","Raou_hook","Raou_subs","Rume_acet","Sche_phoe","Stac_mini","Tara_offi","Trif_ambi","Trif_hybr","Trif_medi","Trif_prat","Trif_repe","Verb_thap","Wahl_albo"
"Pen1",0,0,0,0,1.496,0,1.698,0,0,0,0,0,0,0,0,5.235,0,0,0,26.972,0,0,0.002,0,1.87,0,0,0,0,0,0,0.002,0,5.01,0,0,0,11.99,0,0,0,0,0.025,7.902,0,0.748,37.043,0.002,0,0.002,0.002,0,0
"Pen2",0,0,0,0,4.019,0,1.259,0,0,0,0,0,0.003,0,0,3.215,0,0,0.134,40.055,0,0,0,0,0.271,0,0,0,0,0,0,0,0,4.423,0,0.804,0,9.833,0,0,0,0,0.134,0.887,0,0.268,34.696,0,0,0,0,0,0
"Pen5",0,0,0,0,0.398,0,1.353,0,0,0,0,0,0,0,0,3.581,0,0,0,11.723,0,0,0,0,1.061,0,0,0,0,0.003,0,0,0,1.857,0,0,0,16.497,0,0,0,0,0.003,2.917,0,3.183,57.421,0.003,0,0,0.003,0,0
"Pen9",0,0,0,0.188,0.004,0,4.777,0,0,0.204,0,0,0,0,0.004,0,1.554,0,5.956,6.25,0,0.004,45.696,0.004,0,0,0,0.004,0,0,0,0,0,0,0,3.472,0,1.999,0,0.257,0,0,1.269,0,0,0,28.358,0,0,0,0,0,0
"Pen10",0,2.33,0.004,0.167,0.194,0,14.173,0,0,0.078,0,0,0,0,0,0,0.004,0,0.194,5.564,0,0,43.141,0,0,0,0,0.276,0,0,0,0,0,0,0,0.349,0,2.446,0,7.156,0,0,0.004,0,0,0,23.92,0,0,0,0,0,0
"Pen11",0,0.074,0,0.011,2.513,0,5.285,0,0,0.004,0,0,0,0,0,0,0,0,0.037,3.104,0,0.037,49.558,0,0,0,0,0.928,0,0,0,0,0,0,0,0.111,0,5.802,0,5.662,0,0,0.152,0,0,0,26.723,0,0,0,0,0,0
"Pen14",0,0.23,0.041,0,0,0.057,0,0,0.038,0.452,0,0,0,0.038,0.041,0.004,0,0,2.94,3.468,0.038,0,36.377,0,0,0.192,0,1.142,0.038,0,0,0,0,0,0.648,0.867,0.912,0.188,0,51.907,0.117,0.004,0.026,0,0,0.004,0.004,0,0.188,0,0,0,0.038
"Pen17",0,0.054,0.418,0.008,0.004,0.021,0,0,0.004,1.907,0.004,0,0,0.004,0.455,0,0,0,6.744,4.597,0.004,0.004,27.308,0.046,0,0.248,0,0.265,0,0,0,0.029,0,0,0.497,5.176,0.501,0,0,50.726,0.091,0,0.033,0,0.083,0,0.108,0,0.339,0,0,0,0.302
"Pen18",0,0.597,2.708,0.046,0,0.06,0,0,0.046,0.367,6.427,0,0,0,0.294,0.005,0,0,29.609,6.932,0.009,0.005,30.297,0,0,0.138,0,0.06,0.055,0,0,0.014,0,0,0.151,5.88,0.23,0.055,0,14.736,0.092,0.275,0,0,0.096,0,0.055,0,0.188,0.005,0,0,0.569
"Pen21",0,0.162,0.003,0.005,46.319,0,0.054,0,0,0,0,0,0.054,0,0,0.405,0.003,0,0.812,0.459,0,0,0.836,0.027,0,0,0,8.012,0,0,0,0.005,0,0,0,0.003,0,19.153,0,0,0,0,0.054,0,0,0.003,23.632,0,0,0,0,0,0
"Pen22",0,0.21,0.03,0.3,16.132,0,0.21,0,0,0,0,0,0,0,0,0.15,0.33,0,0.003,4.386,0,0.003,15.351,0,0,0,0,4.119,0,0,0,0.069,0,0,0,0.03,0,26.256,0,0.09,0,0,1.175,0,0,0,31.003,0,0,0,0.15,0,0
"Pen23",0,3.031,0,0.009,7.304,0,0.003,0,0,4.395,0,0,0.012,0,0.909,0,0.033,0,0,1.788,0,0,21.67,0,0,0,0,0.909,0,0,0,0.006,0,0,0.003,0,0,15.733,0,0.394,0,0,0.218,0,0,0,43.522,0,0,0,0.061,0,0
"Pen27",0,13.69,0,0,3.545,0,0,0,0,5.209,0,0,0,0,1.639,0,0.003,0,0.136,2.645,0,0,19.226,0,0,0.003,0,4.2,0,0,0,0.005,0,0,0,0.003,0,16.062,0,2.348,0,0,0.305,0,0,0.003,30.706,0,0,0,0.273,0,0
